Name                                                                                                                                            Stmts   Miss  Cover
virt/lib/python3.4/site-packages/django/db/models/manager                                                                                         170     43    75%
virt/lib/python3.4/site-packages/django/db/models/options                                                                                         348     89    74%
virt/lib/python3.4/site-packages/django/db/models/query                                                                                           891    573    36%
virt/lib/python3.4/site-packages/django/db/models/query_utils                                                                                     100     72    28%
virt/lib/python3.4/site-packages/django/db/models/related                                                                                          35     10    71%
virt/lib/python3.4/site-packages/django/db/models/signals                                                                                          11      0   100%
virt/lib/python3.4/site-packages/django/db/models/sql/__init__                                                                                      6      0   100%
virt/lib/python3.4/site-packages/django/db/models/sql/aggregates                                                                                   61     13    79%
virt/lib/python3.4/site-packages/django/db/models/sql/compiler                                                                                    679    311    54%
virt/lib/python3.4/site-packages/django/db/models/sql/constants                                                                                    10      0   100%
virt/lib/python3.4/site-packages/django/db/models/sql/datastructures                                                                               34     18    47%
virt/lib/python3.4/site-packages/django/db/models/sql/expressions                                                                                  82     67    18%
virt/lib/python3.4/site-packages/django/db/models/sql/query                                                                                       940    442    53%
virt/lib/python3.4/site-packages/django/db/models/sql/subqueries                                                                                  156     75    52%
virt/lib/python3.4/site-packages/django/db/models/sql/where                                                                                       230     96    58%
virt/lib/python3.4/site-packages/django/db/transaction                                                                                            206     93    55%
virt/lib/python3.4/site-packages/django/db/utils                                                                                                  172     49    72%
virt/lib/python3.4/site-packages/django/dispatch/__init__                                                                                           1      0   100%
virt/lib/python3.4/site-packages/django/dispatch/dispatcher                                                                                       122     19    84%
virt/lib/python3.4/site-packages/django/dispatch/saferef                                                                                           84     22    74%
virt/lib/python3.4/site-packages/django/forms/__init__                                                                                              6      0   100%
virt/lib/python3.4/site-packages/django/forms/fields                                                                                              642    397    38%
virt/lib/python3.4/site-packages/django/forms/forms                                                                                               290    175    40%
virt/lib/python3.4/site-packages/django/forms/formsets                                                                                            214    155    28%
virt/lib/python3.4/site-packages/django/forms/models                                                                                              654    476    27%
virt/lib/python3.4/site-packages/django/forms/util                                                                                                 47     24    49%
virt/lib/python3.4/site-packages/django/forms/widgets                                                                                             522    315    40%
virt/lib/python3.4/site-packages/django/http/__init__                                                                                               4      0   100%
virt/lib/python3.4/site-packages/django/http/cookie                                                                                                53     31    42%
virt/lib/python3.4/site-packages/django/http/multipartparser                                                                                      345     87    75%
virt/lib/python3.4/site-packages/django/http/request                                                                                              287    123    57%
virt/lib/python3.4/site-packages/django/http/response                                                                                             242     89    63%
virt/lib/python3.4/site-packages/django/http/utils                                                                                                 15      7    53%
virt/lib/python3.4/site-packages/django/middleware/__init__                                                                                         0      0   100%
virt/lib/python3.4/site-packages/django/middleware/cache                                                                                           96     82    15%
virt/lib/python3.4/site-packages/django/middleware/clickjacking                                                                                    11      2    82%
virt/lib/python3.4/site-packages/django/middleware/common                                                                                          77     39    49%
virt/lib/python3.4/site-packages/django/middleware/csrf                                                                                            81     25    69%
virt/lib/python3.4/site-packages/django/middleware/http                                                                                            19     16    16%
virt/lib/python3.4/site-packages/django/shortcuts/__init__                                                                                         63     35    44%
virt/lib/python3.4/site-packages/django/template/__init__                                                                                           6      0   100%
virt/lib/python3.4/site-packages/django/template/base                                                                                             787    355    55%
virt/lib/python3.4/site-packages/django/template/context                                                                                          104     17    84%
virt/lib/python3.4/site-packages/django/template/debug                                                                                             81     22    73%
virt/lib/python3.4/site-packages/django/template/defaultfilters                                                                                   454    318    30%
virt/lib/python3.4/site-packages/django/template/defaulttags                                                                                      623    411    34%
virt/lib/python3.4/site-packages/django/template/loader                                                                                            97     25    74%
virt/lib/python3.4/site-packages/django/template/loader_tags                                                                                      177     79    55%
virt/lib/python3.4/site-packages/django/template/loaders/__init__                                                                                   0      0   100%
virt/lib/python3.4/site-packages/django/template/loaders/app_directories                                                                           43     20    53%
virt/lib/python3.4/site-packages/django/template/loaders/cached                                                                                    42     31    26%
virt/lib/python3.4/site-packages/django/template/loaders/filesystem                                                                                29      8    72%
virt/lib/python3.4/site-packages/django/template/response                                                                                          72     25    65%
virt/lib/python3.4/site-packages/django/template/smartif                                                                                          104     32    69%
virt/lib/python3.4/site-packages/django/templatetags/__init__                                                                                       0      0   100%
virt/lib/python3.4/site-packages/django/templatetags/static                                                                                        68     47    31%
virt/lib/python3.4/site-packages/django/test/__init__                                                                                               3      0   100%
virt/lib/python3.4/site-packages/django/test/client                                                                                               301     97    68%
virt/lib/python3.4/site-packages/django/test/html                                                                                                 167    128    23%
virt/lib/python3.4/site-packages/django/test/runner                                                                                               150     15    90%
virt/lib/python3.4/site-packages/django/test/signals                                                                                               50     35    30%
virt/lib/python3.4/site-packages/django/test/testcases                                                                                            609    424    30%
virt/lib/python3.4/site-packages/django/test/utils                                                                                                265    165    38%
virt/lib/python3.4/site-packages/django/utils/__init__                                                                                              0      0   100%
virt/lib/python3.4/site-packages/django/utils/_os                                                                                                  43     17    60%
virt/lib/python3.4/site-packages/django/utils/baseconv                                                                                             48     25    48%
virt/lib/python3.4/site-packages/django/utils/cache                                                                                               133    103    23%
virt/lib/python3.4/site-packages/django/utils/crypto                                                                                               75     11    85%
virt/lib/python3.4/site-packages/django/utils/datastructures                                                                                      307    145    53%
virt/lib/python3.4/site-packages/django/utils/dateformat                                                                                          181    119    34%
virt/lib/python3.4/site-packages/django/utils/dateparse                                                                                            38     27    29%
virt/lib/python3.4/site-packages/django/utils/dates                                                                                                 9      0   100%
virt/lib/python3.4/site-packages/django/utils/datetime_safe                                                                                        56     42    25%
virt/lib/python3.4/site-packages/django/utils/decorators                                                                                           62     32    48%
virt/lib/python3.4/site-packages/django/utils/deprecation                                                                                          33      5    85%
virt/lib/python3.4/site-packages/django/utils/encoding                                                                                            108     41    62%
virt/lib/python3.4/site-packages/django/utils/formats                                                                                             117     52    56%
virt/lib/python3.4/site-packages/django/utils/functional                                                                                          222     85    62%
virt/lib/python3.4/site-packages/django/utils/html                                                                                                185    128    31%
